class_name,accuracy,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,S_16,S_17
decorating the christmas tree 89,0.12244897959183673,0.2393956826008907,0.28319850097708144,0.2527701360027807,0.16151244944050203,0.12546071250219734,0.24591738129959623,0.16602802673975622,0.125457482719097,0.13010166683975533,0.07703289031374211,0.02880363897236735,0.12839428576482398,0.0779284003559424,0.03183632650444297,0.1793328899915527,0.19159561192908253,0.15582411635692428,0.18630908096728668
diving cliff 93,0.12244897959183673,0.0784079924874565,0.10928578139061021,0.09674932048028831,0.058692415847259295,0.045252176418799125,0.09653686992317237,0.06127571389788674,0.04914370728872056,0.06287370774007979,0.044547720999539304,0.03428190459909082,0.06312673395486916,0.046363128988819856,0.0369241494224185,0.06535544234068216,0.06893612190726259,0.05787513730882787,0.06010173458390596
eating spaghetti 116,0.12244897959183673,0.3085458809340082,0.16868921661052572,0.14252891126133144,0.11984329931285918,0.11102561262594594,0.14487411715546433,0.11512537547925702,0.10108738156808475,0.02435187072030642,0.004243809612227135,0.0035219390365947676,0.023611326753763724,0.008239659946411848,0.004772755077146754,0.30793296171694395,0.3139340124973634,0.20580806308254904,0.16126945511824417
playing drums 230,0.12244897959183673,0.33265221117305116,0.3400304068270183,0.31453816524573736,0.2267739138655922,0.17944574903848828,0.29708809572012246,0.18780340120500455,0.14891268762196,0.1639961213562764,0.05960268748328596,0.01914132633480896,0.16289544045114193,0.064588739999703,0.027473027540155417,0.29722870932144374,0.2833953705166473,0.19857911783112156,0.17993578268557184
hurling (sport) 161,0.12,0.1819202666083972,0.38606036860148124,0.3522412996927897,0.26963886651992797,0.21442236644426982,0.3535086704889933,0.26791593249638873,0.20331019937197364,0.30860213596026115,0.29007169970273977,0.23513556485970813,0.3074188014507294,0.29278440151711316,0.23879183563788736,0.14886716544628142,0.15557910008430478,0.16326276750564575,0.1807663327296575
passing American football (in game) 208,0.12,0.2012345349450906,0.5148103986104331,0.4776091315348944,0.33910420077045755,0.2460295655926069,0.47666646701494847,0.33252999870777133,0.24436750020186104,0.45246026661098,0.42524623727798455,0.36739309711456314,0.4500303345819314,0.42876276826858517,0.3700044650713604,0.1773469299808145,0.17773683376312255,0.20727719767888383,0.2027796983838082
playing basketball 220,0.12,0.23788100248972568,0.49266286582946783,0.45225760218302397,0.3051603337287903,0.22580439979235328,0.4565542659123739,0.3188949023246765,0.24165270264943436,0.3926541672388712,0.3635161312262218,0.3206937672297159,0.3946825640996297,0.3688722669919333,0.3247756995519002,0.1871723317146301,0.2079304975827535,0.20226183339754747,0.24469823500315355
pole vault 253,0.12,0.15503410048882166,0.34486969699462267,0.31308160247008004,0.20631356333096826,0.15228076573014257,0.31686993001302083,0.2197065676490466,0.16335669960578283,0.27324193523327517,0.21170299987991648,0.15242260009994113,0.27320163447856904,0.21259053211311504,0.15298306663731734,0.12938253156145416,0.1266295017560323,0.14320030022760236,0.14821029931902888
punching bag 258,0.12,0.21230393388271326,0.2484774979909261,0.22014123395284016,0.13837950073480607,0.09586239980260533,0.221273598798116,0.13856536663373306,0.09782179854909581,0.13272259941101078,0.09562493302896619,0.06739293288116653,0.13318810073335965,0.09504906637594102,0.0660621331130465,0.16639416841665902,0.16494826813340183,0.14165426761309308,0.154881034831206
riding mule 272,0.12,0.1624512021164099,0.31934423332214357,0.30138336871465043,0.21723430028458432,0.15525113387902575,0.2912286324183146,0.17380726596514381,0.11642813230355582,0.23372603554725646,0.17264510157704346,0.13432743216554321,0.2299671329657237,0.15093430197437605,0.1102824009199937,0.12920080086290836,0.1242046674271425,0.15285649871428808,0.13979259916941325
roller skating 280,0.12,0.25375960071881615,0.47743006951808925,0.43639889649947494,0.2867457342704137,0.22249600187937418,0.44212423455715183,0.30508943487207096,0.23447873168786365,0.3952294314066569,0.38373086496988934,0.33327490234375007,0.3979428970336914,0.39132943496704103,0.33754599978129074,0.1952766348759333,0.21755090052286793,0.1927938329060873,0.235465030324459
ski jumping 307,0.12,0.07472433412472407,0.12408453426758449,0.10768789946163695,0.0653631004701058,0.05207906722749273,0.10914186704556142,0.07267686716119448,0.05700220024387041,0.09085273405710856,0.08008333309888839,0.06875283326307932,0.09276433207194008,0.08117336769302685,0.06849503321448963,0.06598346651792526,0.069270867929856,0.050197432874639826,0.057881266915798174
