class_name,accuracy,default_confidence_P0,default_confidence_P1,frame_confidence_P0,frame_confidence_P1
dancing macarena 87,0.2653061224489796,0.4277673802037112,0.310787238908285,0.3317884979608476,0.016618115899968196
playing harmonica 233,0.2653061224489796,0.25239060879446645,0.05520693743896175,0.3639864541846994,0.051742596109982004
riding mountain bike 271,0.2653061224489796,0.22875624530126776,0.03620686977853541,0.7948064893836199,0.07151643054559095
bartending 15,0.26,0.36026855102251676,0.14315615688447506,0.35028506231007167,0.038925641778244216
dancing ballet 84,0.26,0.4528975603554552,0.2775923628997015,0.37214337906586764,0.022664185217525664
finger snapping 127,0.26,0.17010355908148928,0.050594607237662986,1.0914583239270885,0.0936590494512769
making bed 186,0.26,0.24888546174446233,0.06912057765709116,0.5111311522210039,0.07444779755159
playing piano 241,0.26,0.21592751952840744,0.045283441991402405,0.6799656614035643,0.11294913373984755
dunking basketball 107,0.25,0.29132468616596663,0.12576020919610836,0.5277069811374077,0.04045203355130576
shooting goal (soccer) 297,0.24489795918367346,0.3076974532592312,0.08558134807063165,0.5785935385507655,0.0615998126829602
walking the dog 378,0.24489795918367346,0.23026543681241035,0.04745710330192535,0.5907007187936321,0.055284809551473774
busking 41,0.24,0.5139110445822074,0.3549113309278748,0.30162879132962267,0.013116042638041059
cartwheeling 45,0.24,0.2973595883811,0.07454967038611073,0.5381411376619755,0.040338437604527475
kicking field goal 174,0.24,0.2770270852480115,0.08454528320494001,0.7608169502381545,0.08021810158003058
petting cat 213,0.24,0.05348847201606772,0.006844732900158511,1.1380173997072993,0.16198098567172942
playing ukulele 249,0.24,0.27932469936147725,0.08588809449232965,0.41817947430487856,0.08248104858226629
riding scooter 274,0.24,0.33130862621073065,0.04713058728849753,0.4629415992978326,0.0683230985003031
skiing crosscountry 309,0.24,0.3206175935914859,0.08218087524326939,0.6264476823726125,0.06543940337690173
swimming breast stroke 340,0.24,0.1527767709503859,0.058247744295846636,0.6313246028073483,0.04921280779716408
exercising arm 119,0.22448979591836735,0.42769913427629325,0.045442842216562855,0.37262487079194156,0.10140433296736384
using computer 373,0.22448979591836735,0.06824979609613203,0.017351313879941613,1.5138353346739988,0.18030093559385238
auctioning 9,0.22,0.3852571983120043,0.2778829592768622,0.32002275296306487,0.004813935097249776
biking through snow 22,0.22,0.19437723624312284,0.02159572981854815,0.7530198015800015,0.09217807794710024
hockey stop 154,0.22,0.3103790133808677,0.07890430170104817,0.703081545599799,0.052054159447625425
playing saxophone 244,0.22,0.3517057475393714,0.1388093712715955,0.3476255491871321,0.044840091592351486
playing xylophone 252,0.22,0.32743988382886025,0.09670369609931782,0.3880241544931751,0.06467042489278446
pumping fist 256,0.22,0.21079901729582298,0.07498095185450743,0.4589412412591852,0.03722458667718062
pushing cart 262,0.22,0.2799815026651541,0.05948609282094414,0.4327907272301057,0.03525748196507269
stretching arm 333,0.22,0.38180208076415717,0.05631270317121423,0.40935855495751017,0.10749499872211737
tying knot (not on a tie) 369,0.22,0.05829053545652268,0.010319003592736112,1.4095811726316747,0.1976868827770448
parkour 207,0.20833333333333334,0.2749036490326372,0.052979630171808574,0.4802215394299541,0.03905500583257074
beatboxing 16,0.20408163265306123,0.23360888824211617,0.08522202859370479,0.42405286733124103,0.06603114622483695
driving tractor 104,0.20408163265306123,0.22188185974581476,0.04909405139536812,0.6812187455688188,0.07233515644127556
punching person (boxing) 259,0.20408163265306123,0.390198441543307,0.22499382199961426,0.31078586246783585,0.024029417390037406
abseiling 0,0.2,0.25378806361733586,0.05608451132101952,0.6229169068769455,0.07448571329121048
canoeing or kayaking 42,0.2,0.20612415161977524,0.03683321791817039,0.7778430789240193,0.1089326882120854
playing paintball 240,0.2,0.17286392222188943,0.05789334259251695,0.6793784143431832,0.05418911875828596
rock climbing 278,0.2,0.24328265850540323,0.054795365881113195,0.47851363985093937,0.045857331239125554
strumming guitar 335,0.2,0.14967735464505624,0.007607457896091175,0.8046013226404717,0.16983323112501966
waiting in line 377,0.2,0.29846641996261003,0.2102740611101094,0.36937672244417524,0.008883836394660576
dancing gangnam style 86,0.1875,0.41801505466423583,0.2481847253295836,0.32125953450534944,0.024037715458191868
feeding fish 124,0.1836734693877551,0.10912821988954936,0.0309939466773034,0.765804688141801,0.06423752497734461
motorcycling 199,0.1836734693877551,0.19440428337784524,0.05000857211657335,0.821220320696116,0.09088719434201042
playing cricket 227,0.1836734693877551,0.3847140432476101,0.1650900101509775,0.38173751865233585,0.03036939006529535
snowmobiling 324,0.1836734693877551,0.13881273392798082,0.020886830576103774,1.254412356222406,0.12312689270856045
water skiing 383,0.1836734693877551,0.22062357768571522,0.023332151615844742,0.8271744537228627,0.1113598741710249
building shed 39,0.18,0.21492583522422132,0.04670950425139883,0.6421937096092551,0.08075570944009217
bungee jumping 40,0.18,0.1022315564227789,0.026730264120715823,1.0476556519208409,0.0930784799982152
paragliding 205,0.18,0.11076011958657064,0.033828227263728944,1.260071589282227,0.1296381225525207
playing organ 239,0.18,0.21403239488282608,0.047782737294802674,0.5464426090668046,0.10837460221242937
playing recorder 243,0.18,0.25632995543516307,0.07100192313276468,0.41345967763808084,0.0795528518009036
playing violin 250,0.18,0.3390730379769919,0.1319970507223176,0.319372949620304,0.03917701648262184
pushing car 261,0.18,0.2813149126389044,0.07865939823160734,0.453277506667288,0.05203888935806466
robot dancing 277,0.18,0.43812524514419604,0.14232405515629343,0.32628384846103803,0.05577620364421443
tapping guitar 350,0.18,0.16446344016048337,0.016456330018915884,0.7887027800795253,0.14981592044590702
tasting beer 352,0.18,0.3060723638662139,0.17237534385942868,0.35442584609086797,0.0360787090094139
training dog 363,0.18,0.3265347395320284,0.06657680353605593,0.42437550614955594,0.046765507308000116
washing dishes 379,0.18,0.16450761873693023,0.03073665010425808,0.5977276415531233,0.07981231488111976
drop kicking 105,0.1702127659574468,0.252341781583775,0.0927488951589232,0.6121107584026119,0.03359792904957368
bending back 20,0.16666666666666666,0.20146097106704403,0.045686912459989876,0.5460309741203864,0.04001202130924328
driving car 103,0.16666666666666666,0.10462493577202062,0.02614195324876509,1.0853718503299,0.1281119928098421
milking cow 197,0.16666666666666666,0.191753710504163,0.0688371191415331,0.5304535591205641,0.04955749789809105
extinguishing fire 121,0.16326530612244897,0.21415030785350153,0.0864478932378029,0.5756618952416747,0.052209061545860753
picking fruit 214,0.16326530612244897,0.2528155271350499,0.08498760965278186,0.3891133757729365,0.020851098994438287
swinging on something 344,0.16326530612244897,0.2749626973817764,0.09176852662728795,0.5157632036201344,0.036118747801163656
arranging flowers 7,0.16,0.252695127520822,0.04160064465222747,0.509699676048145,0.07911151065963729
disc golfing 92,0.16,0.2900193020017273,0.04867349160159613,0.5968605275351512,0.10338010175148817
knitting 178,0.16,0.041859000102324004,0.007674590357565501,1.8449241416088578,0.2716496353081736
riding mule 272,0.16,0.27910728894460307,0.0819996774019743,0.4608666307863719,0.02834168731216272
sanding floor 284,0.16,0.15706524645552974,0.02442891309844395,1.0302038466778838,0.09836578191786857
scrambling eggs 285,0.16,0.057412715295140894,0.007568357675181131,1.5354097857978457,0.21447551157945943
singing 304,0.16,0.32593450124673334,0.16496940484009254,0.3708507852390787,0.04932457443119904
snorkeling 321,0.16,0.0930611936585431,0.017312727810226726,0.9062789944420648,0.087594522378312
trapezing 364,0.16,0.16601180068270216,0.041307796455788325,0.6912298385749733,0.06263529605855472
wrestling 395,0.16,0.42963822092675186,0.27514368193896865,0.3098784055973962,0.006701756961729097
writing 396,0.16,0.06973926819938515,0.019145134187516944,1.6831661932477704,0.22172068913646995
kissing 176,0.15217391304347827,0.18141884983647236,0.08933120315811352,0.39775508867573545,0.017930974445617528
clapping 57,0.14583333333333334,0.3159290205953705,0.15975007333985933,0.37097103672348153,0.03539340673724061
hoverboarding 157,0.14583333333333334,0.23109799682717677,0.058198831602235906,0.7130426090699379,0.07369217672993338
ironing 165,0.14583333333333334,0.16544939728957203,0.026142038432377793,1.0868059307706002,0.18702862008285606
gargling 137,0.14285714285714285,0.23120692368003254,0.11311215455817056,0.4177502613296212,0.0415806865489216
playing trombone 247,0.14285714285714285,0.35039363809096136,0.14716022403571885,0.34435665541956956,0.05278304547441641
smoking 316,0.14285714285714285,0.16028931269826266,0.036710486727338495,0.4757423889363726,0.07393770949211284
brushing teeth 37,0.14,0.19331675546039062,0.039488296896419334,0.4068191255620933,0.055277786024102264
ice climbing 162,0.14,0.20754868278327254,0.03230154939170859,0.6109096661706392,0.07139421201619878
playing bagpipes 219,0.14,0.4188227641860477,0.17510215081190686,0.32726917631349045,0.0380159854497456
somersaulting 325,0.14,0.2560948275784989,0.07916972979666882,0.5572873118299084,0.04205829073123414
exercising with an exercise ball 120,0.125,0.35989316100458235,0.06595824451969734,0.38799581282773804,0.05697727009803916
balloon blowing 12,0.12244897959183673,0.22794106908035636,0.0505673663818139,0.4090859045941791,0.05578749778935041
braiding hair 32,0.12244897959183673,0.0927037952502727,0.015770390752448137,0.6972592421518772,0.10293205202445223
cleaning floor 60,0.12244897959183673,0.14857916179055006,0.019569940322280318,1.1893082715540089,0.11695273675452161
dancing charleston 85,0.12244897959183673,0.49944970466786714,0.3640376733279402,0.31651733521046743,0.020519574377495197
